"","cellname","cluster","celltype","nUMI"
"X1772067070_C01","X1772067070_C01",2,"eNeuron",4484
"X1772067070_A03","X1772067070_A03",2,"eNeuron",4898
"X1772071017_C06","X1772071017_C06",2,"eNeuron",7435
"X1772067064_B05","X1772067064_B05",2,"eNeuron",14052
"X1772067073_C12","X1772067073_C12",2,"eNeuron",14111
"X1772067064_C02","X1772067064_C02",2,"eNeuron",15647
"X1772067070_G11","X1772067070_G11",2,"eNeuron",8781
"X1772067074_F07","X1772067074_F07",2,"eNeuron",11463
"X1772067069_G06","X1772067069_G06",2,"eNeuron",14156
"X1772067070_F07","X1772067070_F07",2,"eNeuron",9243
"X1772071041_H11","X1772071041_H11",2,"eNeuron",9632
"X1772067066_A06","X1772067066_A06",2,"eNeuron",5933
"X1772071040_G08","X1772071040_G08",2,"eNeuron",6396
"X1772067064_G02","X1772067064_G02",2,"eNeuron",10336
"X1772071040_E01","X1772071040_E01",2,"eNeuron",7793
"X1772067070_F03","X1772067070_F03",2,"eNeuron",6117
"X1772067074_D05","X1772067074_D05",2,"eNeuron",8551
"X1772067069_G03","X1772067069_G03",2,"eNeuron",6674
"X1772067070_E11","X1772067070_E11",2,"eNeuron",6938
"X1772071017_D11","X1772071017_D11",2,"eNeuron",10361
"X1772071041_E12","X1772071041_E12",2,"eNeuron",5346
"X1772071041_F09","X1772071041_F09",2,"eNeuron",6025
"X1772071041_D09","X1772071041_D09",2,"eNeuron",5680
"X1772071041_H12","X1772071041_H12",2,"eNeuron",5098
"X1772067073_F08","X1772067073_F08",2,"eNeuron",7798
"X1772071041_D04","X1772071041_D04",2,"eNeuron",10827
"X1772071040_F05","X1772071040_F05",2,"eNeuron",7866
"X1772071041_E01","X1772071041_E01",2,"eNeuron",4730
"X1772071041_G07","X1772071041_G07",2,"eNeuron",5446
"X1772071041_G03","X1772071041_G03",2,"eNeuron",7365
"X1772071041_H09","X1772071041_H09",2,"eNeuron",4393
"X1772071041_G08","X1772071041_G08",2,"eNeuron",5344
"X1772067070_G08","X1772067070_G08",2,"eNeuron",5017
"X1772067064_F02","X1772067064_F02",2,"eNeuron",7246
"X1772067064_F01","X1772067064_F01",2,"eNeuron",12391
"X1772063063_H02","X1772063063_H02",2,"eNeuron",2945
"X1772063065_C11","X1772063065_C11",2,"eNeuron",1767
"X1772063071_G03","X1772063071_G03",2,"eNeuron",2075
"X1772063068_A01","X1772063068_A01",2,"eNeuron",2683
"X1772063071_E06","X1772063071_E06",2,"eNeuron",2849
"X1772071041_A04","X1772071041_A04",2,"eNeuron",6803
"X1772063068_B01","X1772063068_B01",2,"eNeuron",2749
"X1772063070_F03","X1772063070_F03",2,"eNeuron",6402
"X1772063063_G11","X1772063063_G11",2,"eNeuron",5164
"X1772063062_H11","X1772063062_H11",2,"eNeuron",3526
"X1772063077_D06","X1772063077_D06",2,"eNeuron",2558
"X1772071041_H10","X1772071041_H10",2,"eNeuron",2820
"X1772063064_D02","X1772063064_D02",2,"eNeuron",5020
"X1772067074_C05","X1772067074_C05",2,"eNeuron",4688
"X1772067066_B03","X1772067066_B03",2,"eNeuron",6409
"X1772063068_F11","X1772063068_F11",2,"eNeuron",1842
"X1772067070_D06","X1772067070_D06",2,"eNeuron",5024
"X1772067074_B09","X1772067074_B09",2,"eNeuron",4725
"X1772063077_D12","X1772063077_D12",2,"eNeuron",4675
"X1772067074_F03","X1772067074_F03",2,"eNeuron",4638
"X1772071041_C05","X1772071041_C05",2,"eNeuron",4461
"X1772067070_G12","X1772067070_G12",2,"eNeuron",3732
"X1772071041_A02","X1772071041_A02",2,"eNeuron",7009
"X1772067074_B01","X1772067074_B01",2,"eNeuron",6787
